Формулы сокращённого умножения |(a+b)² = a² + 2ab + b² |Квадрат суммы
Формулы сокращённого умножения |(a-b)² = a² - 2ab + b² |Квадрат разности
Формулы сокращённого умножения |a² - b² = (a - b)(a + b) |Разность квадратов
Формулы сокращённого умножения |a³ + b³ = (a + b)(a² - ab + b²) |Сумма кубов
Формулы сокращённого умножения |a³ - b³ = (a - b)(a² + ab + b²) |Разность кубов
Формулы сокращённого умножения |(a+b)³ = a³ + 3a²b + 3ab² + b³ |Куб суммы
Формулы сокращённого умножения |(a-b)³ = a³ - 3a²b + 3ab² - b³ |Куб разности
Тригонометрия |sin^2α + cos^2α = 1 |Основное тригонометрическое тождество
Тригонометрия |sin2α = 2 ⋅ sinα ⋅ cosα |Синус двойного угла
Тригонометрия |cos2α = 2cos^2α - 1 = 1 - 2sin^2α = cos^2α - sin^2α |Косинус двойного угла
Тригонометрия |sin(α+β) = sinα ⋅ cosβ + cosα ⋅ sinβ |Синус суммы
Тригонометрия |cos(α+β)=cosα ⋅ cosβ − sinα ⋅ sinβ |Косинус суммы
Тригонометрия |sin(α−β)=sinα ⋅ cosβ − cosα ⋅ sinβ |Синус разности
Тригонометрия |cos(α−β)=cosα ⋅ cosβ + sinα ⋅ sinβ |Косинус разности
Тригонометрия |sin^2α = (1 - cos2α)/2 |Квадрат синуса
Тригонометрия |cos^2α = (1 + cos2α)/2 |Квадрат косинуса
